Bill ID,Title,Relevance Score (1-10),GDP Impact %,GDP Impact Confidence,GDP Impact Justification,Relevance Justification,Primary Mechanism,Implementation Timeline,Analysis Timestamp,Error
C-12,An Act respecting certain measures relating to the security of Canada's borders and the integrity of the Canadian immigration system and respecting other related security measures,7,-0.04,low,"Affected sectors: (1) Financial services and payments (banks, credit unions, insurers, securities dealers, PSPs under the RPAA, MSBs, crypto asset dealers), real estate brokerages, casinos, dealers in precious metals and stones, accountants/notaries — collectively 15,000–20,000 reporting entities; (2) Exporters/logistics (port/airport authorities, bonded/sufferance warehouses, carriers); (3) Immigration‑reliant sectors (post‑secondary institutions, tech, hospitality, agriculture). Mechanisms: (a) PCMLTFA changes mandate enrolment of all reporting entities with FINTRAC, explicit requirements for risk‑based/effective AML programs, new compliance orders and very large penalties (up to $30M or 3% of global revenue), expanded inspections/recordkeeping for import/export goods, and more information‑sharing with OSFI; businesses respond by hiring staff, upgrading systems, and de‑risking high‑risk customers; (b) Customs Act changes require owners/operators to provide CBSA facilities free of charge and grant CBSA access to export‑bound goods at warehouses/transport premises; (c) IRPA changes add ineligibility grounds and process tools and create Order‑in‑Council powers to pause or terminate intake/processing and cancel or vary documents — introducing policy uncertainty for international students/workers, while information‑sharing may shorten screening and reduce fraud. Scale (conservative): Incremental AML compliance spend of roughly $200M/year (e.g., Big 6 banks + large FI: ~+$80M; ~200 other regulated FIs at ~$0.5M each: ~$100M; ~14,000 smaller entities at ~$5–10k each: ~$20–40M). CBSA facility/access obligations impose about $30M/year on ports, airports, and warehouses. Immigration policy uncertainty (occasional pauses/targeted orders) assumed at an expected-value cost of ~$25M/year. Offsetting positives: faster IRCC/agency screening and reduced backlogs, plus lower fraud, add roughly $100M/year in earlier labour market entry/administrative efficiency; strengthened AML regime reduces de‑risking/greylisting risk and improves financial integrity by an estimated $30M/year expected value; precursor/drug enforcement changes yield productivity/health gains of ~$20M/year. Net: (-$200M - $30M - $25M) + ($100M + $30M + $20M) ≈ -$105M/year. Over 10 years, ≈ -$1.05B, which is about -0.039% of current GDP ($2.7T). Time horizon: AML/Customs impacts begin within 1–2 years as regulations and enforcement mature; immigration process efficiencies unfold over 2–5 years; OIC powers are enabling and assumed used sparingly. Confidence: low, because many outcomes depend on future regulations and the discretionary use of Order‑in‑Council powers; aggressive use of intake suspensions could move impacts toward -0.2% or worse, while minimal use would reduce the net drag.","Directly relevant to entrepreneurs in finance/fintech/real estate/payments (higher AML obligations and penalties), to exporters/logistics operators (CBSA facility and access requirements), and to firms and institutions reliant on international talent and students (new immigration tools introduce policy uncertainty but may also speed screening). Not a broad economy‑wide tax or competition reform, hence a 7 rather than higher.","Expands and hardens AML/ATF compliance (mandatory FINTRAC enrolment, compliance orders, very large penalties), pushing thousands of reporting entities to increase ongoing compliance spending.",Phased: several provisions on Royal Assent; most AML/FINTRAC and Customs changes within 12–24 months via regulations; immigration process and ineligibility changes and any OIC use materialize over 2–5 years; full steady-state effects by year 5.,2025-10-17T23:43:56.865Z,
C-248,An Act respecting the holding of a pan-Canadian conference on time change,3,0.0003,low,"Affected sectors: economy-wide but only tangentially (transportation/logistics, healthcare/public safety, and general business operations via scheduling). Mechanism: the bill only mandates a one-time intergovernmental conference and a public report on time change; this can slightly raise the probability that provinces harmonize time-change policy (e.g., eliminating biannual clock changes or adopting a uniform approach). Scale: Direct one-time spending to host and staff the conference/report is likely $2–5M federally plus ~$1–3M in provincial participation costs (~$3–8M total), equal to ~0.0001%–0.0003% of GDP in the year it occurs. Indirect expected value: If pan-Canadian harmonization were eventually adopted, literature suggests small annual benefits from fewer post-transition accidents/health incidents and minor productivity/scheduling gains on the order of $20–60M per year nationally (~0.0007%–0.0022% of GDP). Assuming a conservative $30M/year benefit that would realistically start a few years after consensus (say 7 years of benefits within the 10-year window), the 10-year gross benefit if adopted is ~$210M. The conference plausibly increases the probability of such harmonization by a modest 3% absolute (from, say, existing efforts) due to information-sharing and coordination. Expected indirect benefit: 0.03 × $210M ≈ $6.3M (~0.00023% of GDP). Adding the direct one-time spending (~$3–5M) yields a total expected 10-year GDP effect around $9–11M, or ~0.0003% of GDP. Time horizon: direct spending within 1–2 years; any indirect benefits would only materialize in 2–5+ years if provinces act. Confidence: low, because the bill itself does not change time policy and any economic gains depend on separate provincial decisions.","This bill is largely administrative (a conference and a report) and does not change time policy or regulations. While time harmonization could marginally reduce scheduling frictions and accident/health costs that affect businesses, the bill itself imposes no new rules and has uncertain, indirect effects for entrepreneurs. Hence low direct relevance.",Convenes an intergovernmental conference and publishes recommendations that slightly increase the likelihood of harmonized time-change policy in the future.,Conference within 12 months; report within 18 months of coming into force; any substantive policy changes would require separate provincial/federal actions over 2–5+ years (more realistically 5–10 years).,2025-10-17T23:43:56.865Z,
C-247,An Act to amend the Canada Labour Code,5,-0.02,low,"Affected sectors: federally regulated industries (ports/marine and rail transport, air transport, telecommunications, banking/couriers/Canada Post, interprovincial pipelines/grain). These sectors together account for roughly 10–15% of GDP, but only a subset is prone to disruptive work stoppages (notably ports/rail/air and telecom). Mechanism: repealing CLC s.107 removes the Minister of Labour’s power to refer questions to the Canada Industrial Relations Board (CIRB) or direct the Board to take measures that promote settlement. This modestly reduces the federal government’s ability to expedite Board action on time-sensitive issues (e.g., maintenance of activities orders, unlawful work stoppage rulings, picketing limits), which can lengthen or increase uncertainty around strikes/lockouts. Scale: Over a decade, Canada typically experiences several major federally regulated work stoppages (e.g., ports/rail/postal) plus many smaller ones. Conservatively assume 5 major events over 10 years with an average GDP loss of ~$0.5B per event (combined direct output loss and spillovers that are not fully recouped), for a baseline of ~$2.5B. Without s.107, assume resolution/containment is 10% slower/more protracted in these events due to fewer or slower Minister-initiated referrals/directions to the CIRB, yielding ~$250M incremental loss. Add ~$250M across numerous smaller disputes from slightly slower intervention (e.g., delayed maintenance-of-activities decisions), for a total incremental 10‑year loss of ~$0.5B. As a share of ~$2.7T GDP, that is ~0.019% (rounded to -0.02%). Time horizon: impacts are episodic and occur only during future disputes; most effects materialize immediately to 2–5 years as disputes arise. Guardrails: FMCS conciliation/mediation services, party-initiated CIRB applications, CIRB’s own powers, and potential back‑to‑work legislation remain available, keeping expected economy-wide effects small. Given uncertainty about how often s.107 is used in practice and the variability of large disputes, confidence is low.","Somewhat relevant to builders and entrepreneurs via supply-chain reliability and telecom continuity, especially for trade-exposed or logistics-dependent firms. However, it is a narrow procedural change affecting federal labour-dispute management, with no direct compliance or tax/regulatory changes for most businesses and a small expected macro impact.","Removes the Minister of Labour’s authority to refer matters to or direct the CIRB to act during industrial disputes, modestly increasing the expected duration/uncertainty of strikes/lockouts in federally regulated sectors.",Immediate upon Royal Assent; practical effects occur sporadically during future industrial disputes over the next 10 years.,2025-10-17T23:43:56.865Z,
S-237,An Act respecting a Cities and Municipalities Day,2,0.0001,high,"The bill only designates October 31 as “Cities and Municipalities Day” and explicitly states it is not a legal holiday. No taxes, transfers, regulations, or mandated spending are created. The only plausible economic effect is minor voluntary municipal and association outreach/events spending. Conservative estimate: 200 of Canada’s ~3,500 municipalities (≈6%) undertake new, small activities averaging $2,500 each per year, with only 50% being net-new (the rest reallocated or already occurring due to UN World Cities Day), yielding ~$250,000/year in incremental activity. Over 10 years this is ~$2.5 million. Relative to ~$2.7 trillion GDP, this is ~0.000093%, rounded to 0.0001%. No productivity loss occurs since it is not a holiday. Even if participation doubled, the impact would remain <0.0002%.","Primarily ceremonial. It does not change regulations, funding, or business operations. At most, it may create minor marketing or event opportunities for local vendors, but with negligible, indirect effects for builders and entrepreneurs.","Symbolic designation that may prompt small, voluntary municipal outreach/events and communications spending",Immediate upon enactment; recurring annually,2025-10-17T23:43:56.865Z,
S-236,An Act to amend the Canadian Victims Bill of Rights and to establish a framework for implementing the rights of victims of crime,3,0.004,low,"Affected sectors: federal justice/public administration (RCMP federal units, Correctional Service Canada, Parole Board, PPSC), legal and social services providers, training/IT vendors; indirect effects on labour productivity of victims. Mechanism: the bill converts several rights from “on request” to proactive notification (sections 6–8), creates a right to access support services, adds assistance to enforce restitution orders (s.17.1), mandates recurring training for federal justice personnel, and requires a national implementation framework and awareness campaign. These provisions drive modest new federal operating and procurement spending and small productivity gains for victims who receive timely services. Scale (conservative): (1) Training for ~20,000 federal justice employees, 3 hours per cycle at ~$80/hour, initial + 3 refreshers over 10 years ≈ $19.2M; course development/updates ≈ $3M. (2) Proactive notification enablement (IT changes and process updates) one-time ≈ $10M; incremental staffing time over 10 years ≈ $8M. (3) Incremental federal victims services support/restorative justice/restitution assistance ≈ $4M/year on average over 10 years ≈ $40M (bill does not appropriate funds; assumes modest ramp within federal jurisdiction only). (4) Awareness campaign and framework development/reporting ≈ $13M. Direct spending subtotal ≈ $90–120M. Indirect effects: modest regained work time/productivity from improved support and information (~$15–25M over 10 years) and small recidivism-related efficiency gains (~$2–5M). Total 10‑year GDP effect ≈ $110–150M. As a share of one year’s GDP ($2.7T), this is ~0.004–0.006% cumulative; we report 0.004% to remain conservative. Time horizon: training within 6–12 months; framework within 1 year; operational/process and small productivity effects materialize over 2–5 years. Confidence: low, because major elements rely on provincial cooperation and separate budget decisions; many benefits are contingent and could be smaller than assumed.","Primarily a justice/victim-rights bill with limited direct business impact. Some indirect opportunities for entrepreneurs in training delivery, IT system updates, legal and social service contracting, and public awareness campaigns, but no broad changes to taxes, permits, or core business regulation. Hence low relevance for most builders/entrepreneurs.","Mandates proactive victim notification, recurring training for federal justice personnel, and assistance with restitution enforcement, creating modest new government spending and small productivity gains for victims.",1-3 years for federal training and framework; 2-5 years for indirect effects; depends on provincial cooperation and funding.,2025-10-17T23:43:56.865Z,
C-11,An Act to amend the National Defence Act and other Acts,3,0.002,low,"Affected sectors: Department of National Defence/Canadian Armed Forces (CAF), military police and justice system, RCMP/provincial police and Crown prosecutors/courts, victim services, and limited IT changes to the SOIRA database. Mechanism: (1) Shifts investigations (and, in practice, most prosecutions) of sexual offences committed in Canada by/against CAF members from the military to civilian authorities (ss. 70(d)-(h), 70.1–70.3), requiring transfer of ongoing files within 60 days; (2) creates/expands governance and oversight roles (Provost Marshal General reconstitution, annual reporting, inquiry processes) and introduces victim liaison officer support; (3) harmonizes SOIRA processes, including exemption/variation routes and database removals. Scale: CAF-related sexual offence files are on the order of low hundreds per year; incremental net costs are small because the Government has already been administratively referring these cases to civilian systems in recent years (this bill largely codifies and standardizes that practice). Conservative costing: incremental civilian policing/prosecution overhead beyond current practice ~ $1–3M/year; victim liaison/related supports ~ $2–4M/year; governance/reporting/inquiry readiness ~ $0.5–1M/year; one-time training/IT/forms changes ~ $5–10M. Partial offsets from reduced military police/prosecution workload likely reclaim staff time rather than reduce aggregate spending. Net 10‑year incremental public outlays ≈ $50–70M, which is roughly 0.002% of Canada’s ~$2.7T GDP cumulatively. Time horizon: core caseload shift begins 60 days after Royal Assent; full administrative effects phase in over 1–3 years as orders-in-council take effect. Confidence: low, because precise caseload/cost allocation between federal and provincial systems and operational offsets within DND are uncertain, but the direction (negligible macro impact) is robust.","Primarily a military justice and governance bill. It has limited direct implications for builders and entrepreneurs beyond niche opportunities (legal services, training, and small IT work related to SOIRA/justice procedures). No broad changes to taxes, business regulation, procurement volumes, or competitiveness. Hence low relevance to most businesses.","Transfers sexual‑offence investigations in Canada involving CAF members to civilian authorities and adds victim liaison/oversight roles, causing small, mainly administrative public‑sector cost shifts and one‑time training/IT updates.",Core transfer provisions take effect 60 days after Royal Assent; remaining governance/SOIRA changes roll out by order in council over ~1–3 years.,2025-10-17T23:43:56.865Z,
C-10,An Act respecting the Commissioner for Modern Treaty Implementation,6,0.01,low,"Affected sectors: resource extraction (mining, energy, forestry) and related logistics in modern treaty regions; construction/infrastructure on treaty lands; professional services tied to consultation/impact assessment; federal procurement with Indigenous governments. Mechanism: the bill creates an independent Commissioner and Office to conduct performance audits and publish recommendations on federal modern treaty implementation. This can (a) reduce approval and funding delays caused by inconsistent federal compliance, (b) lower the incidence/duration of implementation disputes and litigation that stall projects, and (c) improve interdepartmental coordination so treaty-related transfers and approvals are processed more predictably. Scale assumptions: economic activity that is meaningfully sensitive to federal modern treaty implementation steps is conservatively assumed at $3–5B per year (subset of territorial/northern projects and treaty-governed areas in BC/QC/Labrador). A modest process/coordination improvement of 0.3–0.6% realized gradually yields ~$10–30M/year in additional/accelerated output. Add avoided disruption/litigation valued at ~$15–25M/year and administrative efficiency savings of ~$5M/year across departments and treaty partners. Gross benefits: ~$30–60M/year once the office is established and practices diffuse; 10-year cumulative gross impact ~$300–600M. Office operating costs likely ~$15–20M/year (comparable oversight bodies), or ~$150–200M over 10 years. Net 10-year impact: ~$150–450M. Relative to a ~$2.7T GDP, that is ~0.006–0.017%. Conservative point estimate: 0.01%. Time horizon: setup 1–2 years; measurable gains 2–5 years; full effect 5–10 years. Confidence: low, because impacts are indirect, recommendations are non-binding, benefits depend on departmental uptake and coordination with the Auditor General, and many gains are timing/efficiency rather than new output.","Somewhat relevant for builders and entrepreneurs operating in modern treaty regions or on federally approved projects (resource development, infrastructure, housing) because improved federal implementation can reduce delays and uncertainty. It does not change underlying rights, introduce new funding programs, or alter permitting law; it establishes oversight and reporting only. Thus, potential business impact is indirect and uneven across sectors and regions.","Independent performance audits and public reporting that push federal departments to fix modern treaty implementation gaps, reducing approval delays and disputes for projects on treaty lands.",1–2 years to establish the Office; 2–5 years for measurable effects; full impact over 5–10 years.,2025-10-17T23:43:56.865Z,
S-235,An Act respecting the National Strategy to Combat Human Trafficking,3,0.005,low,"Affected sectors: public safety/law enforcement, federal public service (training/coordination), social services/NGOs; indirectly sectors where labour exploitation sometimes occurs (hospitality, agriculture, transportation, personal services). Mechanism: the bill statutorily locks in a national strategy, periodic reviews, and annual reporting, which (a) stabilizes and slightly expands federal program activity (training, coordination, awareness, data/website), and (b) marginally improves prevention, detection, and survivor reintegration. Scale and calculations (10‑year cumulative, relative to current ~$2.7T GDP): Assumed incremental program outlays of ~$12M/year (e.g., secretariat and training 50 FTE × $150k = $7.5M; awareness/website/data/consultations ≈ $4.5M) = ~$120M over 10 years → ~0.0044% of GDP. Conservative prevention/productivity effect: assume coordination and continuity prevent or shorten ~10 trafficking cases/year nationwide (a <1% change against likely thousands of actual cases). If each prevented/shortened case yields ~$200k of 10‑year GDP/labour income preserved (lost output, health/justice costs avoided), that is ~100 cases × $200k = ~$20M over 10 years → ~0.0007% of GDP. Combined ≈ $140M / $2.7T ≈ 0.0052%. Time horizon: most spending/coordination effects begin within 1–2 years; deterrence/survivor reintegration impacts accumulate over 2–5+ years. Constraints: the strategy already exists; this bill mainly ensures continuity and review rather than large new appropriations; results depend on provincial/municipal cooperation and enforcement capacity. Hence a small, positive, cumulative GDP impact well below 0.01%.","Primarily a public safety and social policy framework that codifies an existing federal strategy and adds review/reporting. It does not create new private‑sector mandates or broad economic reforms. Indirect business effects (e.g., in sectors susceptible to labour exploitation) are possible but limited and contingent on future program choices, not this statute itself. Some procurement opportunities for NGOs/service providers exist but are small relative to the overall economy.","Statutory continuity and periodic review of the federal anti‑trafficking strategy, leading to stable funding for coordination/training/awareness and marginally improved prevention and enforcement outcomes.","Immediate to 2 years for maintenance, website, training, and first review setup; 2–5 years for measurable prevention and reintegration effects; steady‑state thereafter with 5‑year review cycles.",2025-10-17T23:43:56.865Z,
C-246,An Act to amend the Criminal Code (consecutive sentences for sexual offences),2,0.009,low,"Affected sectors: federal/provincial corrections, courts/legal services, and (marginally) victim services/healthcare and prison vendors. Mechanism: mandating consecutive sentences for sexual offences increases average time served for offenders with multiple sexual offence counts; this raises correctional operating spending and court workload, slightly reduces offender labour supply, and marginally reduces victimization via incapacitation (small productivity gains). Scale assumptions (conservative, order-of-magnitude): roughly 1,800 custodial sentences for sexual offences per year; ~15% (270) involve 2+ sexual offence counts or a new sexual offence while already serving; judges already impose consecutive terms in ~40% of these, so the incremental affected pool is ~162 offenders/year. Average added time due to mandatory consecutives: +1.0 year. Operating cost per inmate-year: ~$150,000. Added correctional spend: 162 inmate-years/year ≈ $24.3M/year, about $243M over 10 years. Court effects: more trials/longer proceedings as plea incentives fall—assume +75 trials/year at ~$60k each ≈ $4.5M/year, $45M over 10 years. Offsetting GDP effects: (a) lost offender output from extra incarceration—assume $30k per inmate-year of foregone output ≈ $4.86M/year, $48.6M over 10 years (negative); (b) incapacitation reduces offences slightly—assume 0.05 prevented incidents per additional offender-year ≈ ~8 incidents/year; avoided productivity losses ~$50k/incident ≈ $0.4M/year, $4M over 10 years (positive). Net 10-year GDP effect ≈ $243M + $45M − $48.6M + $4M ≈ $243.4M. Relative to ~$2.7T GDP, cumulative impact ≈ 0.009%. Time horizon: effects start immediately on coming-into-force for new sentences; correctional and court impacts ramp over 2–5 years and then plateau. Notes: (1) Some consecutive sentencing for sexual offences already occurs (especially across distinct victims), limiting incremental impact; (2) if governments offset higher justice spending with cuts elsewhere, net GDP impact tends toward zero; (3) deterrence beyond incapacitation is likely minimal. Confidence: low, due to limited public data on multi-count sentencing prevalence, behavioural responses (pleas/trials), and actual time-served deltas.","Primarily a criminal sentencing change with minimal direct implications for builders or entrepreneurs. Business-facing effects are indirect and small (marginal demand for legal services and corrections vendors). It does not alter taxes, permitting, financing, labour rules, or broad business regulation.","Mandates consecutive sentences for multiple sexual offences, increasing time served per affected offender and justice system spending",Immediate for new sentences upon coming into force; budgetary and prison-population effects accumulate over 2-5 years and stabilize by around year 5,2025-10-17T23:43:56.865Z,
C-245,An Act to amend the Canadian Multiculturalism Act (non-application in Quebec),2,0.002,medium,"Affected sectors: federal public administration in Quebec, community/non‑profit organizations receiving multiculturalism grants, and small DEI/training vendors. Mechanism: the bill removes the application of the Canadian Multiculturalism Act in Quebec, which likely reduces or reshapes federal multiculturalism-related grants in Quebec and eliminates related planning/reporting/compliance work by federal institutions operating there. Scale: the federal Multiculturalism Program and related initiatives are on the order of ~$30–50M/year nationally. Using Quebec’s ~22% population share implies ~$7–11M/year targeted to Quebec. Conservatively assume 50% of that is curtailed rather than reallocated within Quebec (others reallocated to other provinces), yielding a net national spending reduction of ~$3–5M/year. Add ~$1–2M/year in reduced compliance/reporting/training by federal institutions in Quebec. Total net change: ~$4–7M/year. Over 10 years this is ~$40–70M, or ~0.0015–0.0026% of current GDP ($2.7T). Conservative central estimate: 0.002%. Time horizon: legal change is immediate upon Royal Assent, with program and administrative adjustments phased in over 1–2 years. Indirect effects on immigration attraction/retention or private-sector diversity practices are highly uncertain and likely dominated by existing Quebec policies; they are not counted. Confidence: medium due to uncertainty over how much funding is curtailed versus reallocated and how departments operationalize the exemption.","The bill is primarily symbolic/administrative and does not change taxes, permits, labour law, or core business regulations. Any effects on private enterprises are indirect (e.g., minor shifts in federal grants to Quebec community groups or slightly reduced DEI expectations in federal-facing interactions). For most builders and entrepreneurs, operational impacts are negligible.","Removes application of the Canadian Multiculturalism Act in Quebec, reducing related federal grants and administrative/reporting obligations there.",Legal change on Royal Assent; program and reporting adjustments over 1–2 years.,2025-10-17T23:43:56.865Z,
